well,cell_count,image_file,annotated
I6,497,I6_01_FL3_merge.jpg,I6_01_FL3_merge_annotated.jpg
I7,459,I7_01_FL3_merge.jpg,I7_01_FL3_merge_annotated.jpg
I8,528,I8_01_FL3_merge.jpg,I8_01_FL3_merge_annotated.jpg
I9,513,I9_01_FL3_merge.jpg,I9_01_FL3_merge_annotated.jpg
J10,606,J10_01_FL3_merge.jpg,J10_01_FL3_merge_annotated.jpg
J11,557,J11_01_FL3_merge.jpg,J11_01_FL3_merge_annotated.jpg
J12,564,J12_01_FL3_merge.jpg,J12_01_FL3_merge_annotated.jpg
J13,625,J13_01_FL3_merge.jpg,J13_01_FL3_merge_annotated.jpg
J14,617,J14_01_FL3_merge.jpg,J14_01_FL3_merge_annotated.jpg
J15,621,J15_01_FL3_merge.jpg,J15_01_FL3_merge_annotated.jpg
J16,525,J16_01_FL3_merge.jpg,J16_01_FL3_merge_annotated.jpg
J17,641,J17_01_FL3_merge.jpg,J17_01_FL3_merge_annotated.jpg
J18,585,J18_01_FL3_merge.jpg,J18_01_FL3_merge_annotated.jpg
J19,600,J19_01_FL3_merge.jpg,J19_01_FL3_merge_annotated.jpg
J20,797,J20_01_FL3_merge.jpg,J20_01_FL3_merge_annotated.jpg
J21,732,J21_01_FL3_merge.jpg,J21_01_FL3_merge_annotated.jpg
J22,829,J22_01_FL3_merge.jpg,J22_01_FL3_merge_annotated.jpg
J2,464,J2_01_FL3_merge.jpg,J2_01_FL3_merge_annotated.jpg
J3,529,J3_01_FL3_merge.jpg,J3_01_FL3_merge_annotated.jpg
J4,500,J4_01_FL3_merge.jpg,J4_01_FL3_merge_annotated.jpg
J5,572,J5_01_FL3_merge.jpg,J5_01_FL3_merge_annotated.jpg
J6,585,J6_01_FL3_merge.jpg,J6_01_FL3_merge_annotated.jpg
J7,512,J7_01_FL3_merge.jpg,J7_01_FL3_merge_annotated.jpg
J8,569,J8_01_FL3_merge.jpg,J8_01_FL3_merge_annotated.jpg
J9,607,J9_01_FL3_merge.jpg,J9_01_FL3_merge_annotated.jpg
K10,594,K10_01_FL3_merge.jpg,K10_01_FL3_merge_annotated.jpg
K11,528,K11_01_FL3_merge.jpg,K11_01_FL3_merge_annotated.jpg
K12,403,K12_01_FL3_merge.jpg,K12_01_FL3_merge_annotated.jpg
K13,453,K13_01_FL3_merge.jpg,K13_01_FL3_merge_annotated.jpg
K14,420,K14_01_FL3_merge.jpg,K14_01_FL3_merge_annotated.jpg
K15,515,K15_01_FL3_merge.jpg,K15_01_FL3_merge_annotated.jpg
K16,393,K16_01_FL3_merge.jpg,K16_01_FL3_merge_annotated.jpg
K17,482,K17_01_FL3_merge.jpg,K17_01_FL3_merge_annotated.jpg
K18,452,K18_01_FL3_merge.jpg,K18_01_FL3_merge_annotated.jpg
K19,500,K19_01_FL3_merge.jpg,K19_01_FL3_merge_annotated.jpg
K20,613,K20_01_FL3_merge.jpg,K20_01_FL3_merge_annotated.jpg
K21,645,K21_01_FL3_merge.jpg,K21_01_FL3_merge_annotated.jpg
K22,809,K22_01_FL3_merge.jpg,K22_01_FL3_merge_annotated.jpg
K2,581,K2_01_FL3_merge.jpg,K2_01_FL3_merge_annotated.jpg
K3,590,K3_01_FL3_merge.jpg,K3_01_FL3_merge_annotated.jpg
K4,575,K4_01_FL3_merge.jpg,K4_01_FL3_merge_annotated.jpg
K5,475,K5_01_FL3_merge.jpg,K5_01_FL3_merge_annotated.jpg
K6,507,K6_01_FL3_merge.jpg,K6_01_FL3_merge_annotated.jpg
K7,442,K7_01_FL3_merge.jpg,K7_01_FL3_merge_annotated.jpg
K8,577,K8_01_FL3_merge.jpg,K8_01_FL3_merge_annotated.jpg
K9,559,K9_01_FL3_merge.jpg,K9_01_FL3_merge_annotated.jpg
L10,532,L10_01_FL3_merge.jpg,L10_01_FL3_merge_annotated.jpg
L11,561,L11_01_FL3_merge.jpg,L11_01_FL3_merge_annotated.jpg
L12,541,L12_01_FL3_merge.jpg,L12_01_FL3_merge_annotated.jpg
L13,609,L13_01_FL3_merge.jpg,L13_01_FL3_merge_annotated.jpg
L14,516,L14_01_FL3_merge.jpg,L14_01_FL3_merge_annotated.jpg
L15,543,L15_01_FL3_merge.jpg,L15_01_FL3_merge_annotated.jpg
L16,410,L16_01_FL3_merge.jpg,L16_01_FL3_merge_annotated.jpg
L17,575,L17_01_FL3_merge.jpg,L17_01_FL3_merge_annotated.jpg
L18,491,L18_01_FL3_merge.jpg,L18_01_FL3_merge_annotated.jpg
L19,485,L19_01_FL3_merge.jpg,L19_01_FL3_merge_annotated.jpg
L20,740,L20_01_FL3_merge.jpg,L20_01_FL3_merge_annotated.jpg
L21,786,L21_01_FL3_merge.jpg,L21_01_FL3_merge_annotated.jpg
L22,695,L22_01_FL3_merge.jpg,L22_01_FL3_merge_annotated.jpg
L2,661,L2_01_FL3_merge.jpg,L2_01_FL3_merge_annotated.jpg
L3,637,L3_01_FL3_merge.jpg,L3_01_FL3_merge_annotated.jpg
L4,629,L4_01_FL3_merge.jpg,L4_01_FL3_merge_annotated.jpg
L5,547,L5_01_FL3_merge.jpg,L5_01_FL3_merge_annotated.jpg
L6,560,L6_01_FL3_merge.jpg,L6_01_FL3_merge_annotated.jpg
L7,548,L7_01_FL3_merge.jpg,L7_01_FL3_merge_annotated.jpg
L8,381,L8_01_FL3_merge.jpg,L8_01_FL3_merge_annotated.jpg
L9,440,L9_01_FL3_merge.jpg,L9_01_FL3_merge_annotated.jpg
M10,370,M10_01_FL3_merge.jpg,M10_01_FL3_merge_annotated.jpg
M11,411,M11_01_FL3_merge.jpg,M11_01_FL3_merge_annotated.jpg
M12,390,M12_01_FL3_merge.jpg,M12_01_FL3_merge_annotated.jpg
M13,421,M13_01_FL3_merge.jpg,M13_01_FL3_merge_annotated.jpg
M14,460,M14_01_FL3_merge.jpg,M14_01_FL3_merge_annotated.jpg
M15,387,M15_01_FL3_merge.jpg,M15_01_FL3_merge_annotated.jpg
M16,438,M16_01_FL3_merge.jpg,M16_01_FL3_merge_annotated.jpg
M17,474,M17_01_FL3_merge.jpg,M17_01_FL3_merge_annotated.jpg
M18,387,M18_01_FL3_merge.jpg,M18_01_FL3_merge_annotated.jpg
M19,385,M19_01_FL3_merge.jpg,M19_01_FL3_merge_annotated.jpg
M20,780,M20_01_FL3_merge.jpg,M20_01_FL3_merge_annotated.jpg
M21,728,M21_01_FL3_merge.jpg,M21_01_FL3_merge_annotated.jpg
M22,790,M22_01_FL3_merge.jpg,M22_01_FL3_merge_annotated.jpg
M2,489,M2_01_FL3_merge.jpg,M2_01_FL3_merge_annotated.jpg
M3,408,M3_01_FL3_merge.jpg,M3_01_FL3_merge_annotated.jpg
M4,480,M4_01_FL3_merge.jpg,M4_01_FL3_merge_annotated.jpg
M5,455,M5_01_FL3_merge.jpg,M5_01_FL3_merge_annotated.jpg
M6,489,M6_01_FL3_merge.jpg,M6_01_FL3_merge_annotated.jpg
M7,381,M7_01_FL3_merge.jpg,M7_01_FL3_merge_annotated.jpg
M8,326,M8_01_FL3_merge.jpg,M8_01_FL3_merge_annotated.jpg
M9,403,M9_01_FL3_merge.jpg,M9_01_FL3_merge_annotated.jpg
N10,576,N10_01_FL3_merge.jpg,N10_01_FL3_merge_annotated.jpg
N11,572,N11_01_FL3_merge.jpg,N11_01_FL3_merge_annotated.jpg
N12,558,N12_01_FL3_merge.jpg,N12_01_FL3_merge_annotated.jpg
N13,540,N13_01_FL3_merge.jpg,N13_01_FL3_merge_annotated.jpg
N14,533,N14_01_FL3_merge.jpg,N14_01_FL3_merge_annotated.jpg
N15,529,N15_01_FL3_merge.jpg,N15_01_FL3_merge_annotated.jpg
N16,548,N16_01_FL3_merge.jpg,N16_01_FL3_merge_annotated.jpg
N17,526,N17_01_FL3_merge.jpg,N17_01_FL3_merge_annotated.jpg
N18,457,N18_01_FL3_merge.jpg,N18_01_FL3_merge_annotated.jpg
N19,473,N19_01_FL3_merge.jpg,N19_01_FL3_merge_annotated.jpg
N20,682,N20_01_FL3_merge.jpg,N20_01_FL3_merge_annotated.jpg
N21,758,N21_01_FL3_merge.jpg,N21_01_FL3_merge_annotated.jpg
N22,681,N22_01_FL3_merge.jpg,N22_01_FL3_merge_annotated.jpg
N2,578,N2_01_FL3_merge.jpg,N2_01_FL3_merge_annotated.jpg
N3,568,N3_01_FL3_merge.jpg,N3_01_FL3_merge_annotated.jpg
N4,546,N4_01_FL3_merge.jpg,N4_01_FL3_merge_annotated.jpg
N5,549,N5_01_FL3_merge.jpg,N5_01_FL3_merge_annotated.jpg
N6,571,N6_01_FL3_merge.jpg,N6_01_FL3_merge_annotated.jpg
N7,555,N7_01_FL3_merge.jpg,N7_01_FL3_merge_annotated.jpg
N8,444,N8_01_FL3_merge.jpg,N8_01_FL3_merge_annotated.jpg
N9,406,N9_01_FL3_merge.jpg,N9_01_FL3_merge_annotated.jpg
O10,448,O10_01_FL3_merge.jpg,O10_01_FL3_merge_annotated.jpg
O11,460,O11_01_FL3_merge.jpg,O11_01_FL3_merge_annotated.jpg
O12,462,O12_01_FL3_merge.jpg,O12_01_FL3_merge_annotated.jpg
O13,554,O13_01_FL3_merge.jpg,O13_01_FL3_merge_annotated.jpg
O14,449,O14_01_FL3_merge.jpg,O14_01_FL3_merge_annotated.jpg
O15,512,O15_01_FL3_merge.jpg,O15_01_FL3_merge_annotated.jpg
O16,535,O16_01_FL3_merge.jpg,O16_01_FL3_merge_annotated.jpg
O17,549,O17_01_FL3_merge.jpg,O17_01_FL3_merge_annotated.jpg
O18,541,O18_01_FL3_merge.jpg,O18_01_FL3_merge_annotated.jpg
O19,490,O19_01_FL3_merge.jpg,O19_01_FL3_merge_annotated.jpg
O20,502,O20_01_FL3_merge.jpg,O20_01_FL3_merge_annotated.jpg
O21,491,O21_01_FL3_merge.jpg,O21_01_FL3_merge_annotated.jpg
O22,540,O22_01_FL3_merge.jpg,O22_01_FL3_merge_annotated.jpg
O2,437,O2_01_FL3_merge.jpg,O2_01_FL3_merge_annotated.jpg
O3,387,O3_01_FL3_merge.jpg,O3_01_FL3_merge_annotated.jpg
O4,509,O4_01_FL3_merge.jpg,O4_01_FL3_merge_annotated.jpg
O5,450,O5_01_FL3_merge.jpg,O5_01_FL3_merge_annotated.jpg
O6,508,O6_01_FL3_merge.jpg,O6_01_FL3_merge_annotated.jpg
O7,533,O7_01_FL3_merge.jpg,O7_01_FL3_merge_annotated.jpg
O8,494,O8_01_FL3_merge.jpg,O8_01_FL3_merge_annotated.jpg
O9,415,O9_01_FL3_merge.jpg,O9_01_FL3_merge_annotated.jpg
